ACB,ASW,ESN,GWD,LWK,MSL,YRI,CLM,MXL,PEL,PUR,CDX,CHB,CHS,JPT,KHV,CEU,FIN,GBR,IBS,TSI,BEB,GIH,ITU,PJL,STU,oneKG_pop,country/Location,pop_details,ethnic_cultural_group,sup_pop,sup_pop_alt,icon
,,,,,,,,,,,,,,,,,,,,,,,,,,ACB,Barbados,African Caribbean in Barbados,Afro-Caribbean,AFR,,barbados.png
18.0,,,,,,,,,,,,,,,,,,,,,,,,,,ASW,Africa,African Ancestry in SW USA,African American,AFR,,pan_africa_flag.png
14.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,ESN,Nigeria,Esan in Nigeria,Esan,AFR,,nigeria.png
15.0,25.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,GWD,Gambia,Gambian in Western Division – Mandinka,Mandinka,AFR,AFR,gambia.png
16.0,25.0,16.0,21.0,,,,,,,,,,,,,,,,,,,,,,,LWK,Kenya,"Luhya in Webuye, Kenya",Luhya,AFR,,kenya.png
17.0,25.0,18.0,17.0,19.0,,,,,,,,,,,,,,,,,,,,,,MSL,Sierra Leone,Mende in Sierra Leone,Mende,AFR,,sierra_leone.png
16.0,24.0,15.0,19.0,19.0,16.0,,,,,,,,,,,,,,,,,,,,,YRI,Nigeria,"Yoruba in Ibadan, Nigeria",Yoruba,AFR,,nigeria.png
63.0,53.0,70.0,67.0,69.0,72.0,71.0,,,,,,,,,,,,,,,,,,,,CLM,Colombia,"Colombian in Medellín, Colombia",Colombian,AMR,,colombia.png
61.0,54.0,68.0,66.0,67.0,70.0,69.0,22.0,,,,,,,,,,,,,,,,,,,MXL,Mexico,"Mexican Ancestry in L.A. CA, USA",Mexican-American,AMR,AMR,mexico.png
64.0,58.0,71.0,68.0,69.0,72.0,71.0,28.0,15.0,,,,,,,,,,,,,,,,,,PEL,Peru,Peruvian in Lima Peru,Peruvian,AMR,,peru.png
60.0,49.0,67.0,64.0,67.0,69.0,68.0,14.0,27.0,34.0,,,,,,,,,,,,,,,,,PUR,Puerto Rico,Puerto Rican in Puerto Rico,Puerto Rican,AMR,,puerto_rico.png
77.0,77.0,81.0,81.0,79.0,83.0,84.0,68.0,52.0,56.0,71.0,,,,,,,,,,,,,,,,CDX,SE-Asia,"Chinese Dai in Xishuangbanna, China",Dai,EAS,,china.png
77.0,77.0,82.0,81.0,80.0,83.0,84.0,69.0,53.0,57.0,72.0,16.0,,,,,,,,,,,,,,,CHB,China-NE,"Han Chinese in Beijing, China",Han-North,EAS,EAS,china.png
77.0,76.0,82.0,81.0,79.0,83.0,83.0,67.0,51.0,56.0,70.0,11.0,8.0,,,,,,,,,,,,,,CHS,China-SE,"Han Chinese - Southern, China",Han-South,EAS,EAS,china.png
82.0,83.0,86.0,85.0,84.0,88.0,88.0,75.0,59.0,63.0,79.0,21.0,16.0,16.0,,,,,,,,,,,,,JPT,Japan,"Japanese in Tokyo, Japan",Japanese,EAS,,japan.png
75.0,74.0,79.0,78.0,77.0,81.0,81.0,66.0,51.0,56.0,69.0,8.0,14.0,10.0,21.0,,,,,,,,,,,,KHV,Vietnam,"Kinh in Ho Chi Minh City, Vietnam",Kinh,EAS,,vietnam.png
77.0,66.0,83.0,81.0,84.0,86.0,86.0,27.0,43.0,48.0,25.0,87.0,88.0,86.0,95.0,85.0,,,,,,,,,,,CEU,Western Europe,Utah Residents (CEPH) with Northern and Western European ancestry,European American,EUR,,USA.png
82.0,72.0,88.0,85.0,89.0,91.0,91.0,37.0,52.0,54.0,38.0,93.0,95.0,93.0,100.0,92.0,18.0,,,,,,,,,,FIN,Finland,Finnish in Finland,Finnish,EUR,,finland.png
76.0,65.0,82.0,79.0,83.0,85.0,84.0,27.0,43.0,46.0,26.0,88.0,89.0,87.0,95.0,86.0,9.0,16.0,,,,,,,,,GBR,England/Scotland,British from England and Scotland,British / Scottish,EUR,EUR,UK.png
69.0,58.0,76.0,73.0,76.0,78.0,77.0,17.0,31.0,39.0,14.0,75.0,76.0,74.0,83.0,73.0,18.0,33.0,21.0,,,,,,,,IBS,Spain,Iberian Populations in Spain,Spainish-Iberian,EUR,,spain.png
69.0,58.0,76.0,74.0,76.0,78.0,78.0,19.0,35.0,40.0,15.0,79.0,79.0,78.0,87.0,77.0,16.0,30.0,19.0,10.0,,,,,,,TSI,Italy,Toscani in Italia,Toscan-Italy,EUR,,italy.png
56.0,48.0,61.0,60.0,61.0,62.0,60.0,38.0,36.0,40.0,37.0,68.0,65.0,65.0,72.0,64.0,55.0,66.0,55.0,43.0,45.0,,,,,,BEB,Bangladesh,Bengali in Bangladesh,Bengali,SAS,,bangladesh.png
57.0,49.0,63.0,62.0,62.0,64.0,62.0,39.0,36.0,42.0,36.0,65.0,61.0,62.0,71.0,61.0,55.0,68.0,56.0,42.0,43.0,15.0,,,,,GIH,Gujarat,"Gujarati Indians in Houston, Texas, USA",Gujarati,SAS,,india.png
56.0,48.0,61.0,60.0,61.0,61.0,59.0,45.0,43.0,46.0,43.0,72.0,69.0,70.0,77.0,69.0,61.0,73.0,61.0,50.0,51.0,11.0,18.0,,,,ITU,Andhra Pradesh/Telangana,Indian Telugu in the U.K.,Telugu,SAS,SAS,india.png
58.0,48.0,64.0,62.0,63.0,65.0,63.0,26.0,28.0,33.0,25.0,67.0,66.0,65.0,74.0,65.0,44.0,55.0,43.0,32.0,33.0,19.0,20.0,24.0,,,PJL,Punjab,"Punjabi in Lahore, Pakistan [PJL]",Punjabi,SAS,,pakistan.png
57.0,50.0,61.0,61.0,61.0,61.0,59.0,47.0,45.0,48.0,46.0,72.0,68.0,69.0,76.0,69.0,64.0,75.0,64.0,53.0,54.0,12.0,20.0,9.0,27.0,,STU,Sri Lanka,Sri Lankan Tamil in the UK,Tamil,SAS,,sri_lanka.png
